Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,WIN,SPR,SUM,AUT,ANN
1961,13.7,4,2,3.1,0.7,0.1,0,0,0,0.3,6,19.1,---,5.8,0.2,6.3,49
1962,9.5,9.6,17.7,6.5,1.1,0.3,0,0.1,0,1.6,8.9,13.1,38.2,25.2,0.4,10.5,68.4
1963,24.1,24,8,3.5,0.8,0,0,0,0.1,0.3,7.2,12.7,61.2,12.4,0,7.6,80.8
1964,8.4,10.1,10.2,2.5,0.1,0.2,0,0.3,0.4,2,5.8,14.4,31.2,12.7,0.5,8.3,54.4
1965,16.3,14.8,12.9,4.4,1.1,0.1,0,0,0.1,1.3,14.2,12.1,45.5,18.4,0.1,15.7,77.5
1966,15.4,11.9,5.5,8.9,0.8,0,0,0.1,0,2.6,9.9,9.8,39.4,15.2,0.2,12.5,64.9
1967,10,7.9,5.4,5,2.6,0,0,0,0.1,1.2,6.5,11.8,27.7,13.1,0.1,7.7,50.6
1968,11.8,21.6,9.7,8.6,3.3,0,0,0,0.1,0.3,6.9,15,45.1,21.7,0.1,7.2,77.4
1969,9.2,20.2,19.4,8.6,1.3,0.1,0,0.1,0.1,0.2,15.8,14.5,44.4,29.2,0.2,16.1,89.4
1970,11.2,18.7,15.5,10.6,0.1,0,0,0,0.1,0.4,4.9,9.8,44.5,26.2,0.1,5.4,71.4
1971,9,7.2,10.1,5,1.3,0.1,0.1,0,0.5,2.8,10.4,4.9,26,16.4,0.2,13.8,51.5
1972,10.1,8.8,8.5,2.3,0.5,0.1,0,0,1.4,1.9,9.6,7.8,23.8,11.3,0.1,12.9,50.9
1973,9,12,9.1,6.9,1.6,0.2,0,0,0.1,4.3,9.3,11.1,28.8,17.6,0.2,13.7,63.5
1974,6.2,6.8,9,7.1,1.4,0.1,0,0,1.6,2.4,5.3,3.2,24,17.5,0.2,9.3,43.2
1975,8.5,9.1,14.3,6.3,3.8,0.6,0,0,0.9,1.2,6.1,7.4,20.8,24.3,0.6,8.2,58.1
1976,9.8,8.6,10.5,3.7,0.2,0,0,0,0.1,0.6,6,18.7,25.7,14.4,0.1,6.8,58.3
1977,17.2,10.8,4.8,6.1,3.2,0.1,0,0.1,0.4,0.1,10,5.3,46.7,14.1,0.2,10.5,58.1
1978,17.1,17,6.1,7.8,0.8,0.2,0,0,0,0.1,5.1,12.1,39.5,14.7,0.2,5.2,66.4
1979,24.9,20.4,16.6,5.6,6.1,0.1,0,0,0.9,0.6,7.1,11.2,57.4,28.3,0.1,8.5,93.4
1980,16.2,7.5,12.8,3.3,1.7,0.1,0,0,0,3.4,8.2,9.8,35,17.8,0.1,11.7,63.1
1981,13.4,15.2,7.2,7.7,1.6,0.1,0,0,0.1,5.5,3.1,21,38.3,16.5,0.1,8.6,74.8
1982,12.8,8,8,3.9,3.5,0.1,0,0.1,0.2,0.8,5.6,12.9,41.8,15.4,0.1,6.6,55.9
1983,6.2,16.9,5.3,11,0.7,0.1,0,0,0.4,2.9,6.5,5.8,36,17,0.1,9.8,55.7
1984,19.1,10.2,10,6.3,3.5,0.1,0,0,0.1,0.5,3.4,5.9,35,19.9,0.1,4,59.1
1985,23.3,13.7,12.7,2.9,1.1,0.3,0,0,0,1.1,16.3,8.1,43,16.7,0.3,17.4,79.5
1986,15.9,22.4,9.1,10.1,0.2,0.1,0,0.1,2.1,0.4,4.8,8.2,46.4,19.4,0.2,7.3,73.4
1987,19.3,14.7,14.9,1.9,1.4,0.1,0,0,0.4,2.7,4.2,10.2,42.1,18.3,0.1,7.3,69.9
1988,9.4,9.4,9,4.7,0.8,0.1,0,0,0.3,2.6,6.3,1.4,29,14.5,0.1,9.2,44
1989,2.1,7.4,7.6,7.7,1,0.4,0,0,0.2,0.3,5.7,14,10.9,16.3,0.5,6.2,46.5
1990,4.3,4.7,3,4.4,0.4,0,0,0,0.1,0.3,7.3,11.4,23.1,7.8,0,7.8,36
1991,15.5,17.9,5.8,3.7,1.3,0.7,0,0,0.5,0.6,6.4,6.8,44.7,10.8,0.7,7.5,59.1
1992,12.1,7,3.8,2.2,0.5,0,0,0,0,6.9,5.8,11.7,25.9,6.4,0,12.7,50
1993,7.1,5.3,7.5,1.6,1.5,0,0,0,1.2,6.6,12.2,13.6,24,10.6,0.1,20,56.7
1994,9.8,14.1,5,6.1,2.3,0,0,0,0.1,1.3,0.8,7.2,37.4,13.3,0,2.1,46.6
1995,14.9,8,13.9,4.5,4.3,0,0,0,0.6,0.4,4.5,15.9,30.2,22.6,0.1,5.5,67
1996,6.5,17.8,10.3,3.9,4.8,0.1,0,0,0.1,0.4,12.8,14.6,40.2,19,0.1,13.3,71.4
1997,16,5.9,4,2.9,2.6,0.1,0,0,0.3,3.5,1.4,7.1,36.5,9.4,0.1,5.1,43.5
